,,table 1,,,table 2,,,,,table 3,
,,rule octect,rule number,,ruleoctect parent,rulenumber parent,ruleoctect child,rulenuber child,,rulenumber parent,rulenuber child
!=combination(),,00000000,0,!=implication,00000000,0,00000000,0,,0,0
,,00000001,1,,00000000,0,00000001,1,,0,1
,,00000010,2,,00000000,0,00000010,2,,0,2
,,00000011,3,,00000000,0,00000011,3,,0,3
,,00000100,4,,00000000,0,00000100,4,,0,4
,,00000101,5,,00000000,0,00000101,5,,0,5
,,00000110,6,,00000000,0,00000110,6,,0,6
,,00000111,7,,00000000,0,00000111,7,,0,7
,,00001000,8,,00000000,0,00001000,8,,0,8
,,00001001,9,,00000000,0,00001001,9,,0,9
,,00001010,10,,00000000,0,00001010,10,,0,10
,,00001011,11,,00000000,0,00001011,11,,0,11
,,00001100,12,,00000000,0,00001100,12,,0,12
,,00001101,13,,00000000,0,00001101,13,,0,13
,,00001110,14,,00000000,0,00001110,14,,0,14
,,00001111,15,,00000000,0,00001111,15,,0,15
,,00010000,16,,00000000,0,00010000,16,,0,16
,,00010001,17,,00000000,0,00010001,17,,0,17
,,00010010,18,,00000000,0,00010010,18,,0,18
,,00010011,19,,00000000,0,00010011,19,,0,19
,,00010100,20,,00000000,0,00010100,20,,0,20
,,00010101,21,,00000000,0,00010101,21,,0,21
,,00010110,22,,00000000,0,00010110,22,,0,22
,,00010111,23,,00000000,0,00010111,23,,0,23
,,00011000,24,,00000000,0,00011000,24,,0,24
,,00011001,25,,00000000,0,00011001,25,,0,25
,,00011010,26,,00000000,0,00011010,26,,0,26
,,00011011,27,,00000000,0,00011011,27,,0,27
,,00011100,28,,00000000,0,00011100,28,,0,28
,,00011101,29,,00000000,0,00011101,29,,0,29
,,00011110,30,,00000000,0,00011110,30,,0,30
,,00011111,31,,00000000,0,00011111,31,,0,31
,,00100000,32,,00000000,0,00100000,32,,0,32
,,00100001,33,,00000000,0,00100001,33,,0,33
,,00100010,34,,00000000,0,00100010,34,,0,34
,,00100011,35,,00000000,0,00100011,35,,0,35
,,00100100,36,,00000000,0,00100100,36,,0,36
,,00100101,37,,00000000,0,00100101,37,,0,37
,,00100110,38,,00000000,0,00100110,38,,0,38
,,00100111,39,,00000000,0,00100111,39,,0,39
,,00101000,40,,00000000,0,00101000,40,,0,40
,,00101001,41,,00000000,0,00101001,41,,0,41
,,00101010,42,,00000000,0,00101010,42,,0,42
,,00101011,43,,00000000,0,00101011,43,,0,43
,,00101100,44,,00000000,0,00101100,44,,0,44
,,00101101,45,,00000000,0,00101101,45,,0,45
,,00101110,46,,00000000,0,00101110,46,,0,46
,,00101111,47,,00000000,0,00101111,47,,0,47
,,00110000,48,,00000000,0,00110000,48,,0,48
,,00110001,49,,00000000,0,00110001,49,,0,49
,,00110010,50,,00000000,0,00110010,50,,0,50
,,00110011,51,,00000000,0,00110011,51,,0,51
,,00110100,52,,00000000,0,00110100,52,,0,52
,,00110101,53,,00000000,0,00110101,53,,0,53
,,00110110,54,,00000000,0,00110110,54,,0,54
,,00110111,55,,00000000,0,00110111,55,,0,55
,,00111000,56,,00000000,0,00111000,56,,0,56
,,00111001,57,,00000000,0,00111001,57,,0,57
,,00111010,58,,00000000,0,00111010,58,,0,58
,,00111011,59,,00000000,0,00111011,59,,0,59
,,00111100,60,,00000000,0,00111100,60,,0,60
,,00111101,61,,00000000,0,00111101,61,,0,61
,,00111110,62,,00000000,0,00111110,62,,0,62
,,00111111,63,,00000000,0,00111111,63,,0,63
,,01000000,64,,00000000,0,01000000,64,,0,64
,,01000001,65,,00000000,0,01000001,65,,0,65
,,01000010,66,,00000000,0,01000010,66,,0,66
,,01000011,67,,00000000,0,01000011,67,,0,67
,,01000100,68,,00000000,0,01000100,68,,0,68
,,01000101,69,,00000000,0,01000101,69,,0,69
,,01000110,70,,00000000,0,01000110,70,,0,70
,,01000111,71,,00000000,0,01000111,71,,0,71
,,01001000,72,,00000000,0,01001000,72,,0,72
,,01001001,73,,00000000,0,01001001,73,,0,73
,,01001010,74,,00000000,0,01001010,74,,0,74
,,01001011,75,,00000000,0,01001011,75,,0,75
,,01001100,76,,00000000,0,01001100,76,,0,76
,,01001101,77,,00000000,0,01001101,77,,0,77
,,01001110,78,,00000000,0,01001110,78,,0,78
,,01001111,79,,00000000,0,01001111,79,,0,79
,,01010000,80,,00000000,0,01010000,80,,0,80
,,01010001,81,,00000000,0,01010001,81,,0,81
,,01010010,82,,00000000,0,01010010,82,,0,82
,,01010011,83,,00000000,0,01010011,83,,0,83
,,01010100,84,,00000000,0,01010100,84,,0,84
,,01010101,85,,00000000,0,01010101,85,,0,85
,,01010110,86,,00000000,0,01010110,86,,0,86
,,01010111,87,,00000000,0,01010111,87,,0,87
,,01011000,88,,00000000,0,01011000,88,,0,88
,,01011001,89,,00000000,0,01011001,89,,0,89
,,01011010,90,,00000000,0,01011010,90,,0,90
,,01011011,91,,00000000,0,01011011,91,,0,91
,,01011100,92,,00000000,0,01011100,92,,0,92
,,01011101,93,,00000000,0,01011101,93,,0,93
,,01011110,94,,00000000,0,01011110,94,,0,94
,,01011111,95,,00000000,0,01011111,95,,0,95
,,01100000,96,,00000000,0,01100000,96,,0,96
,,01100001,97,,00000000,0,01100001,97,,0,97
,,01100010,98,,00000000,0,01100010,98,,0,98
,,01100011,99,,00000000,0,01100011,99,,0,99
,,01100100,100,,00000000,0,01100100,100,,0,100
,,01100101,101,,00000000,0,01100101,101,,0,101
,,01100110,102,,00000000,0,01100110,102,,0,102
,,01100111,103,,00000000,0,01100111,103,,0,103
,,01101000,104,,00000000,0,01101000,104,,0,104
,,01101001,105,,00000000,0,01101001,105,,0,105
,,01101010,106,,00000000,0,01101010,106,,0,106
,,01101011,107,,00000000,0,01101011,107,,0,107
,,01101100,108,,00000000,0,01101100,108,,0,108
,,01101101,109,,00000000,0,01101101,109,,0,109
,,01101110,110,,00000000,0,01101110,110,,0,110
,,01101111,111,,00000000,0,01101111,111,,0,111
,,01110000,112,,00000000,0,01110000,112,,0,112
,,01110001,113,,00000000,0,01110001,113,,0,113
,,01110010,114,,00000000,0,01110010,114,,0,114
,,01110011,115,,00000000,0,01110011,115,,0,115
,,01110100,116,,00000000,0,01110100,116,,0,116
,,01110101,117,,00000000,0,01110101,117,,0,117
,,01110110,118,,00000000,0,01110110,118,,0,118
,,01110111,119,,00000000,0,01110111,119,,0,119
,,01111000,120,,00000000,0,01111000,120,,0,120
,,01111001,121,,00000000,0,01111001,121,,0,121
,,01111010,122,,00000000,0,01111010,122,,0,122
,,01111011,123,,00000000,0,01111011,123,,0,123
,,01111100,124,,00000000,0,01111100,124,,0,124
,,01111101,125,,00000000,0,01111101,125,,0,125
,,01111110,126,,00000000,0,01111110,126,,0,126
,,01111111,127,,00000000,0,01111111,127,,0,127
,,10000000,128,,00000000,0,10000000,128,,0,128
,,10000001,129,,00000000,0,10000001,129,,0,129
,,10000010,130,,00000000,0,10000010,130,,0,130
,,10000011,131,,00000000,0,10000011,131,,0,131
,,10000100,132,,00000000,0,10000100,132,,0,132
,,10000101,133,,00000000,0,10000101,133,,0,133
,,10000110,134,,00000000,0,10000110,134,,0,134
,,10000111,135,,00000000,0,10000111,135,,0,135
,,10001000,136,,00000000,0,10001000,136,,0,136
,,10001001,137,,00000000,0,10001001,137,,0,137
,,10001010,138,,00000000,0,10001010,138,,0,138
,,10001011,139,,00000000,0,10001011,139,,0,139
,,10001100,140,,00000000,0,10001100,140,,0,140
,,10001101,141,,00000000,0,10001101,141,,0,141
,,10001110,142,,00000000,0,10001110,142,,0,142
,,10001111,143,,00000000,0,10001111,143,,0,143
,,10010000,144,,00000000,0,10010000,144,,0,144
,,10010001,145,,00000000,0,10010001,145,,0,145
,,10010010,146,,00000000,0,10010010,146,,0,146
,,10010011,147,,00000000,0,10010011,147,,0,147
,,10010100,148,,00000000,0,10010100,148,,0,148
,,10010101,149,,00000000,0,10010101,149,,0,149
,,10010110,150,,00000000,0,10010110,150,,0,150
,,10010111,151,,00000000,0,10010111,151,,0,151
,,10011000,152,,00000000,0,10011000,152,,0,152
,,10011001,153,,00000000,0,10011001,153,,0,153
,,10011010,154,,00000000,0,10011010,154,,0,154
,,10011011,155,,00000000,0,10011011,155,,0,155
,,10011100,156,,00000000,0,10011100,156,,0,156
,,10011101,157,,00000000,0,10011101,157,,0,157
,,10011110,158,,00000000,0,10011110,158,,0,158
,,10011111,159,,00000000,0,10011111,159,,0,159
,,10100000,160,,00000000,0,10100000,160,,0,160
,,10100001,161,,00000000,0,10100001,161,,0,161
,,10100010,162,,00000000,0,10100010,162,,0,162
,,10100011,163,,00000000,0,10100011,163,,0,163
,,10100100,164,,00000000,0,10100100,164,,0,164
,,10100101,165,,00000000,0,10100101,165,,0,165
,,10100110,166,,00000000,0,10100110,166,,0,166
,,10100111,167,,00000000,0,10100111,167,,0,167
,,10101000,168,,00000000,0,10101000,168,,0,168
,,10101001,169,,00000000,0,10101001,169,,0,169
,,10101010,170,,00000000,0,10101010,170,,0,170
,,10101011,171,,00000000,0,10101011,171,,0,171
,,10101100,172,,00000000,0,10101100,172,,0,172
,,10101101,173,,00000000,0,10101101,173,,0,173
,,10101110,174,,00000000,0,10101110,174,,0,174
,,10101111,175,,00000000,0,10101111,175,,0,175
,,10110000,176,,00000000,0,10110000,176,,0,176
,,10110001,177,,00000000,0,10110001,177,,0,177
,,10110010,178,,00000000,0,10110010,178,,0,178
,,10110011,179,,00000000,0,10110011,179,,0,179
,,10110100,180,,00000000,0,10110100,180,,0,180
,,10110101,181,,00000000,0,10110101,181,,0,181
,,10110110,182,,00000000,0,10110110,182,,0,182
,,10110111,183,,00000000,0,10110111,183,,0,183
,,10111000,184,,00000000,0,10111000,184,,0,184
,,10111001,185,,00000000,0,10111001,185,,0,185
,,10111010,186,,00000000,0,10111010,186,,0,186
,,10111011,187,,00000000,0,10111011,187,,0,187
,,10111100,188,,00000000,0,10111100,188,,0,188
,,10111101,189,,00000000,0,10111101,189,,0,189
,,10111110,190,,00000000,0,10111110,190,,0,190
,,10111111,191,,00000000,0,10111111,191,,0,191
,,11000000,192,,00000000,0,11000000,192,,0,192
,,11000001,193,,00000000,0,11000001,193,,0,193
,,11000010,194,,00000000,0,11000010,194,,0,194
,,11000011,195,,00000000,0,11000011,195,,0,195
,,11000100,196,,00000000,0,11000100,196,,0,196
,,11000101,197,,00000000,0,11000101,197,,0,197
,,11000110,198,,00000000,0,11000110,198,,0,198
,,11000111,199,,00000000,0,11000111,199,,0,199
,,11001000,200,,00000000,0,11001000,200,,0,200
,,11001001,201,,00000000,0,11001001,201,,0,201
,,11001010,202,,00000000,0,11001010,202,,0,202
,,11001011,203,,00000000,0,11001011,203,,0,203
,,11001100,204,,00000000,0,11001100,204,,0,204
,,11001101,205,,00000000,0,11001101,205,,0,205
,,11001110,206,,00000000,0,11001110,206,,0,206
,,11001111,207,,00000000,0,11001111,207,,0,207
,,11010000,208,,00000000,0,11010000,208,,0,208
,,11010001,209,,00000000,0,11010001,209,,0,209
,,11010010,210,,00000000,0,11010010,210,,0,210
,,11010011,211,,00000000,0,11010011,211,,0,211
,,11010100,212,,00000000,0,11010100,212,,0,212
,,11010101,213,,00000000,0,11010101,213,,0,213
,,11010110,214,,00000000,0,11010110,214,,0,214
,,11010111,215,,00000000,0,11010111,215,,0,215
,,11011000,216,,00000000,0,11011000,216,,0,216
,,11011001,217,,00000000,0,11011001,217,,0,217
,,11011010,218,,00000000,0,11011010,218,,0,218
,,11011011,219,,00000000,0,11011011,219,,0,219
,,11011100,220,,00000000,0,11011100,220,,0,220
,,11011101,221,,00000000,0,11011101,221,,0,221
,,11011110,222,,00000000,0,11011110,222,,0,222
,,11011111,223,,00000000,0,11011111,223,,0,223
,,11100000,224,,00000000,0,11100000,224,,0,224
,,11100001,225,,00000000,0,11100001,225,,0,225
,,11100010,226,,00000000,0,11100010,226,,0,226
,,11100011,227,,00000000,0,11100011,227,,0,227
,,11100100,228,,00000000,0,11100100,228,,0,228
,,11100101,229,,00000000,0,11100101,229,,0,229
,,11100110,230,,00000000,0,11100110,230,,0,230
,,11100111,231,,00000000,0,11100111,231,,0,231
,,11101000,232,,00000000,0,11101000,232,,0,232
,,11101001,233,,00000000,0,11101001,233,,0,233
,,11101010,234,,00000000,0,11101010,234,,0,234
,,11101011,235,,00000000,0,11101011,235,,0,235
,,11101100,236,,00000000,0,11101100,236,,0,236
,,11101101,237,,00000000,0,11101101,237,,0,237
,,11101110,238,,00000000,0,11101110,238,,0,238
,,11101111,239,,00000000,0,11101111,239,,0,239
,,11110000,240,,00000000,0,11110000,240,,0,240
,,11110001,241,,00000000,0,11110001,241,,0,241
,,11110010,242,,00000000,0,11110010,242,,0,242
,,11110011,243,,00000000,0,11110011,243,,0,243
,,11110100,244,,00000000,0,11110100,244,,0,244
,,11110101,245,,00000000,0,11110101,245,,0,245
,,11110110,246,,00000000,0,11110110,246,,0,246
,,11110111,247,,00000000,0,11110111,247,,0,247
,,11111000,248,,00000000,0,11111000,248,,0,248
,,11111001,249,,00000000,0,11111001,249,,0,249
,,11111010,250,,00000000,0,11111010,250,,0,250
,,11111011,251,,00000000,0,11111011,251,,0,251
,,11111100,252,,00000000,0,11111100,252,,0,252
,,11111101,253,,00000000,0,11111101,253,,0,253
,,11111110,254,,00000000,0,11111110,254,,0,254
,,11111111,255,,00000000,0,11111111,255,,0,255
,,,,,00000001,1,00000001,1,,1,1
,,,,,00000001,1,00000011,3,,1,3
,,,,,00000001,1,00000101,5,,1,5
,,,,,00000001,1,00000111,7,,1,7
,,,,,00000001,1,00001001,9,,1,9
,,,,,00000001,1,00001011,11,,1,11
,,,,,00000001,1,00001101,13,,1,13
,,,,,00000001,1,00001111,15,,1,15
,,,,,00000001,1,00010001,17,,1,17
,,,,,00000001,1,00010011,19,,1,19
,,,,,00000001,1,00010101,21,,1,21
,,,,,00000001,1,00010111,23,,1,23
,,,,,00000001,1,00011001,25,,1,25
,,,,,00000001,1,00011011,27,,1,27
,,,,,00000001,1,00011101,29,,1,29
,,,,,00000001,1,00011111,31,,1,31
,,,,,00000001,1,00100001,33,,1,33
,,,,,00000001,1,00100011,35,,1,35
,,,,,00000001,1,00100101,37,,1,37
,,,,,00000001,1,00100111,39,,1,39
,,,,,00000001,1,00101001,41,,1,41
,,,,,00000001,1,00101011,43,,1,43
,,,,,00000001,1,00101101,45,,1,45
,,,,,00000001,1,00101111,47,,1,47
,,,,,00000001,1,00110001,49,,1,49
,,,,,00000001,1,00110011,51,,1,51
,,,,,00000001,1,00110101,53,,1,53
,,,,,00000001,1,00110111,55,,1,55
,,,,,00000001,1,00111001,57,,1,57
,,,,,00000001,1,00111011,59,,1,59
,,,,,00000001,1,00111101,61,,1,61
,,,,,00000001,1,00111111,63,,1,63
,,,,,00000001,1,01000001,65,,1,65
,,,,,00000001,1,01000011,67,,1,67
,,,,,00000001,1,01000101,69,,1,69
,,,,,00000001,1,01000111,71,,1,71
,,,,,00000001,1,01001001,73,,1,73
,,,,,00000001,1,01001011,75,,1,75
,,,,,00000001,1,01001101,77,,1,77
,,,,,00000001,1,01001111,79,,1,79
,,,,,00000001,1,01010001,81,,1,81
,,,,,00000001,1,01010011,83,,1,83
,,,,,00000001,1,01010101,85,,1,85
,,,,,00000001,1,01010111,87,,1,87
,,,,,00000001,1,01011001,89,,1,89
,,,,,00000001,1,01011011,91,,1,91
,,,,,00000001,1,01011101,93,,1,93
,,,,,00000001,1,01011111,95,,1,95
,,,,,00000001,1,01100001,97,,1,97
,,,,,00000001,1,01100011,99,,1,99
,,,,,00000001,1,01100101,101,,1,101
,,,,,00000001,1,01100111,103,,1,103
,,,,,00000001,1,01101001,105,,1,105
,,,,,00000001,1,01101011,107,,1,107
,,,,,00000001,1,01101101,109,,1,109
,,,,,00000001,1,01101111,111,,1,111
,,,,,00000001,1,01110001,113,,1,113
,,,,,00000001,1,01110011,115,,1,115
,,,,,00000001,1,01110101,117,,1,117
,,,,,00000001,1,01110111,119,,1,119
,,,,,00000001,1,01111001,121,,1,121
,,,,,00000001,1,01111011,123,,1,123
,,,,,00000001,1,01111101,125,,1,125
,,,,,00000001,1,01111111,127,,1,127
,,,,,00000001,1,10000001,129,,1,129
,,,,,00000001,1,10000011,131,,1,131
,,,,,00000001,1,10000101,133,,1,133
,,,,,00000001,1,10000111,135,,1,135
,,,,,00000001,1,10001001,137,,1,137
,,,,,00000001,1,10001011,139,,1,139
,,,,,00000001,1,10001101,141,,1,141
,,,,,00000001,1,10001111,143,,1,143
,,,,,00000001,1,10010001,145,,1,145
,,,,,00000001,1,10010011,147,,1,147
,,,,,00000001,1,10010101,149,,1,149
,,,,,00000001,1,10010111,151,,1,151
,,,,,00000001,1,10011001,153,,1,153
,,,,,00000001,1,10011011,155,,1,155
,,,,,00000001,1,10011101,157,,1,157
,,,,,00000001,1,10011111,159,,1,159
,,,,,00000001,1,10100001,161,,1,161
,,,,,00000001,1,10100011,163,,1,163
,,,,,00000001,1,10100101,165,,1,165
,,,,,00000001,1,10100111,167,,1,167
,,,,,00000001,1,10101001,169,,1,169
,,,,,00000001,1,10101011,171,,1,171
,,,,,00000001,1,10101101,173,,1,173
,,,,,00000001,1,10101111,175,,1,175
,,,,,00000001,1,10110001,177,,1,177
,,,,,00000001,1,10110011,179,,1,179
,,,,,00000001,1,10110101,181,,1,181
,,,,,00000001,1,10110111,183,,1,183
,,,,,00000001,1,10111001,185,,1,185
,,,,,00000001,1,10111011,187,,1,187
,,,,,00000001,1,10111101,189,,1,189
,,,,,00000001,1,10111111,191,,1,191
,,,,,00000001,1,11000001,193,,1,193
,,,,,00000001,1,11000011,195,,1,195
,,,,,00000001,1,11000101,197,,1,197
,,,,,00000001,1,11000111,199,,1,199
,,,,,00000001,1,11001001,201,,1,201
,,,,,00000001,1,11001011,203,,1,203
,,,,,00000001,1,11001101,205,,1,205
,,,,,00000001,1,11001111,207,,1,207
,,,,,00000001,1,11010001,209,,1,209
,,,,,00000001,1,11010011,211,,1,211
,,,,,00000001,1,11010101,213,,1,213
,,,,,00000001,1,11010111,215,,1,215
,,,,,00000001,1,11011001,217,,1,217
,,,,,00000001,1,11011011,219,,1,219
,,,,,00000001,1,11011101,221,,1,221
,,,,,00000001,1,11011111,223,,1,223
,,,,,00000001,1,11100001,225,,1,225
,,,,,00000001,1,11100011,227,,1,227
,,,,,00000001,1,11100101,229,,1,229
,,,,,00000001,1,11100111,231,,1,231
,,,,,00000001,1,11101001,233,,1,233
,,,,,00000001,1,11101011,235,,1,235
,,,,,00000001,1,11101101,237,,1,237
,,,,,00000001,1,11101111,239,,1,239
,,,,,00000001,1,11110001,241,,1,241
,,,,,00000001,1,11110011,243,,1,243
,,,,,00000001,1,11110101,245,,1,245
,,,,,00000001,1,11110111,247,,1,247
,,,,,00000001,1,11111001,249,,1,249
,,,,,00000001,1,11111011,251,,1,251
,,,,,00000001,1,11111101,253,,1,253
,,,,,00000001,1,11111111,255,,1,255
,,,,,00000010,2,00000010,2,,2,2
,,,,,00000010,2,00000011,3,,2,3
,,,,,00000010,2,00000110,6,,2,6
,,,,,00000010,2,00000111,7,,2,7
,,,,,00000010,2,00001010,10,,2,10
,,,,,00000010,2,00001011,11,,2,11
,,,,,00000010,2,00001110,14,,2,14
,,,,,00000010,2,00001111,15,,2,15
,,,,,00000010,2,00010010,18,,2,18
,,,,,00000010,2,00010011,19,,2,19
,,,,,00000010,2,00010110,22,,2,22
,,,,,00000010,2,00010111,23,,2,23
,,,,,00000010,2,00011010,26,,2,26
,,,,,00000010,2,00011011,27,,2,27
,,,,,00000010,2,00011110,30,,2,30
,,,,,00000010,2,00011111,31,,2,31
,,,,,00000010,2,00100010,34,,2,34
,,,,,00000010,2,00100011,35,,2,35
,,,,,00000010,2,00100110,38,,2,38
,,,,,00000010,2,00100111,39,,2,39
,,,,,00000010,2,00101010,42,,2,42
,,,,,00000010,2,00101011,43,,2,43
,,,,,00000010,2,00101110,46,,2,46
,,,,,00000010,2,00101111,47,,2,47
,,,,,00000010,2,00110010,50,,2,50
,,,,,00000010,2,00110011,51,,2,51
,,,,,00000010,2,00110110,54,,2,54
,,,,,00000010,2,00110111,55,,2,55
,,,,,00000010,2,00111010,58,,2,58
,,,,,00000010,2,00111011,59,,2,59
,,,,,00000010,2,00111110,62,,2,62
,,,,,00000010,2,00111111,63,,2,63
,,,,,00000010,2,01000010,66,,2,66
,,,,,00000010,2,01000011,67,,2,67
,,,,,00000010,2,01000110,70,,2,70
,,,,,00000010,2,01000111,71,,2,71
,,,,,00000010,2,01001010,74,,2,74
,,,,,00000010,2,01001011,75,,2,75
,,,,,00000010,2,01001110,78,,2,78
,,,,,00000010,2,01001111,79,,2,79
,,,,,00000010,2,01010010,82,,2,82
,,,,,00000010,2,01010011,83,,2,83
,,,,,00000010,2,01010110,86,,2,86
,,,,,00000010,2,01010111,87,,2,87
,,,,,00000010,2,01011010,90,,2,90
,,,,,00000010,2,01011011,91,,2,91
,,,,,00000010,2,01011110,94,,2,94
,,,,,00000010,2,01011111,95,,2,95
,,,,,00000010,2,01100010,98,,2,98
,,,,,00000010,2,01100011,99,,2,99
,,,,,00000010,2,01100110,102,,2,102
,,,,,00000010,2,01100111,103,,2,103
,,,,,00000010,2,01101010,106,,2,106
,,,,,00000010,2,01101011,107,,2,107
,,,,,00000010,2,01101110,110,,2,110
,,,,,00000010,2,01101111,111,,2,111
,,,,,00000010,2,01110010,114,,2,114
,,,,,00000010,2,01110011,115,,2,115
,,,,,00000010,2,01110110,118,,2,118
,,,,,00000010,2,01110111,119,,2,119
,,,,,00000010,2,01111010,122,,2,122
,,,,,00000010,2,01111011,123,,2,123
,,,,,00000010,2,01111110,126,,2,126
,,,,,00000010,2,01111111,127,,2,127
,,,,,00000010,2,10000010,130,,2,130
,,,,,00000010,2,10000011,131,,2,131
,,,,,00000010,2,10000110,134,,2,134
,,,,,00000010,2,10000111,135,,2,135
,,,,,00000010,2,10001010,138,,2,138
,,,,,00000010,2,10001011,139,,2,139
,,,,,00000010,2,10001110,142,,2,142
,,,,,00000010,2,10001111,143,,2,143
,,,,,00000010,2,10010010,146,,2,146
,,,,,00000010,2,10010011,147,,2,147
,,,,,00000010,2,10010110,150,,2,150
,,,,,00000010,2,10010111,151,,2,151
,,,,,00000010,2,10011010,154,,2,154
,,,,,00000010,2,10011011,155,,2,155
,,,,,00000010,2,10011110,158,,2,158
,,,,,00000010,2,10011111,159,,2,159
,,,,,00000010,2,10100010,162,,2,162
,,,,,00000010,2,10100011,163,,2,163
,,,,,00000010,2,10100110,166,,2,166
,,,,,00000010,2,10100111,167,,2,167
,,,,,00000010,2,10101010,170,,2,170
,,,,,00000010,2,10101011,171,,2,171
,,,,,00000010,2,10101110,174,,2,174
,,,,,00000010,2,10101111,175,,2,175
,,,,,00000010,2,10110010,178,,2,178
,,,,,00000010,2,10110011,179,,2,179
,,,,,00000010,2,10110110,182,,2,182
,,,,,00000010,2,10110111,183,,2,183
,,,,,00000010,2,10111010,186,,2,186
,,,,,00000010,2,10111011,187,,2,187
,,,,,00000010,2,10111110,190,,2,190
,,,,,00000010,2,10111111,191,,2,191
,,,,,00000010,2,11000010,194,,2,194
,,,,,00000010,2,11000011,195,,2,195
,,,,,00000010,2,11000110,198,,2,198
,,,,,00000010,2,11000111,199,,2,199
,,,,,00000010,2,11001010,202,,2,202
,,,,,00000010,2,11001011,203,,2,203
,,,,,00000010,2,11001110,206,,2,206
,,,,,00000010,2,11001111,207,,2,207
,,,,,00000010,2,11010010,210,,2,210
,,,,,00000010,2,11010011,211,,2,211
,,,,,00000010,2,11010110,214,,2,214
,,,,,00000010,2,11010111,215,,2,215
,,,,,00000010,2,11011010,218,,2,218
,,,,,00000010,2,11011011,219,,2,219
,,,,,00000010,2,11011110,222,,2,222
,,,,,00000010,2,11011111,223,,2,223
,,,,,00000010,2,11100010,226,,2,226
,,,,,00000010,2,11100011,227,,2,227
,,,,,00000010,2,11100110,230,,2,230
,,,,,00000010,2,11100111,231,,2,231
,,,,,00000010,2,11101010,234,,2,234
,,,,,00000010,2,11101011,235,,2,235
,,,,,00000010,2,11101110,238,,2,238
,,,,,00000010,2,11101111,239,,2,239
,,,,,00000010,2,11110010,242,,2,242
,,,,,00000010,2,11110011,243,,2,243
,,,,,00000010,2,11110110,246,,2,246
,,,,,00000010,2,11110111,247,,2,247
,,,,,00000010,2,11111010,250,,2,250
,,,,,00000010,2,11111011,251,,2,251
,,,,,00000010,2,11111110,254,,2,254
,,,,,00000010,2,11111111,255,,2,255
,,,,,00000011,3,00000011,3,,3,3
,,,,,00000011,3,00000111,7,,3,7
,,,,,00000011,3,00001011,11,,3,11
,,,,,00000011,3,00001111,15,,3,15
,,,,,00000011,3,00010011,19,,3,19
,,,,,00000011,3,00010111,23,,3,23
,,,,,00000011,3,00011011,27,,3,27
,,,,,00000011,3,00011111,31,,3,31
,,,,,00000011,3,00100011,35,,3,35
,,,,,00000011,3,00100111,39,,3,39
,,,,,00000011,3,00101011,43,,3,43
,,,,,00000011,3,00101111,47,,3,47
,,,,,00000011,3,00110011,51,,3,51
,,,,,00000011,3,00110111,55,,3,55
,,,,,00000011,3,00111011,59,,3,59
,,,,,00000011,3,00111111,63,,3,63
,,,,,00000011,3,01000011,67,,3,67
,,,,,00000011,3,01000111,71,,3,71
,,,,,00000011,3,01001011,75,,3,75
,,,,,00000011,3,01001111,79,,3,79
,,,,,00000011,3,01010011,83,,3,83
,,,,,00000011,3,01010111,87,,3,87
,,,,,00000011,3,01011011,91,,3,91
,,,,,00000011,3,01011111,95,,3,95
,,,,,00000011,3,01100011,99,,3,99
,,,,,00000011,3,01100111,103,,3,103
,,,,,00000011,3,01101011,107,,3,107
,,,,,00000011,3,01101111,111,,3,111
,,,,,00000011,3,01110011,115,,3,115
,,,,,00000011,3,01110111,119,,3,119
,,,,,00000011,3,01111011,123,,3,123
,,,,,00000011,3,01111111,127,,3,127
,,,,,00000011,3,10000011,131,,3,131
,,,,,00000011,3,10000111,135,,3,135
,,,,,00000011,3,10001011,139,,3,139
,,,,,00000011,3,10001111,143,,3,143
,,,,,00000011,3,10010011,147,,3,147
,,,,,00000011,3,10010111,151,,3,151
,,,,,00000011,3,10011011,155,,3,155
,,,,,00000011,3,10011111,159,,3,159
,,,,,00000011,3,10100011,163,,3,163
,,,,,00000011,3,10100111,167,,3,167
,,,,,00000011,3,10101011,171,,3,171
,,,,,00000011,3,10101111,175,,3,175
,,,,,00000011,3,10110011,179,,3,179
,,,,,00000011,3,10110111,183,,3,183
,,,,,00000011,3,10111011,187,,3,187
,,,,,00000011,3,10111111,191,,3,191
,,,,,00000011,3,11000011,195,,3,195
,,,,,00000011,3,11000111,199,,3,199
,,,,,00000011,3,11001011,203,,3,203
,,,,,00000011,3,11001111,207,,3,207
,,,,,00000011,3,11010011,211,,3,211
,,,,,00000011,3,11010111,215,,3,215
,,,,,00000011,3,11011011,219,,3,219
,,,,,00000011,3,11011111,223,,3,223
,,,,,00000011,3,11100011,227,,3,227
,,,,,00000011,3,11100111,231,,3,231
,,,,,00000011,3,11101011,235,,3,235
,,,,,00000011,3,11101111,239,,3,239
,,,,,00000011,3,11110011,243,,3,243
,,,,,00000011,3,11110111,247,,3,247
,,,,,00000011,3,11111011,251,,3,251
,,,,,00000011,3,11111111,255,,3,255
,,,,,00000100,4,00000100,4,,4,4
,,,,,00000100,4,00000101,5,,4,5
,,,,,00000100,4,00000110,6,,4,6
,,,,,00000100,4,00000111,7,,4,7
,,,,,00000100,4,00001100,12,,4,12
,,,,,00000100,4,00001101,13,,4,13
,,,,,00000100,4,00001110,14,,4,14
,,,,,00000100,4,00001111,15,,4,15
,,,,,00000100,4,00010100,20,,4,20
